FltyId,Longitude,Latitude,Area,Occ,NumStories,FoundationType,FirstFloorHt,FOUND_TYPE,Cost,ContentCost,GooglePlus
12167,-101.316393,48.21521205,1250,RES3A,1,7,1.175,SLAB ON GRADE,151500,75750,85WW6P8C+46
12168,-101.316613,48.21521192,1864,RES3A,1,7,1.325,SLAB ON GRADE,69000,34500,85WW7M4P+PQ
12169,-101.3077764,48.21747832,3600,RES1,1,7,1.16,SLAB ON GRADE,297200,148600,85WW6MHH+HF
12170,-101.3147635,48.214347,1170,RES1,1,7,1.685,SLAB ON GRADE,103800,51900,85WW6MRM+RV
12171,-101.306266,48.216027,1431,RES1,1,7,1.595,SLAB ON GRADE,91500,45750,85WW6MPR+F2
12172,-101.301101,48.2148635,2852,RES1,1,7,2.965,SLAB ON GRADE,173000,86500,85WW6MGV+45
12173,-101.2923603,48.21701703,1093,RES1,1,7,1.125,SLAB ON GRADE,54500,27250,85WW6PQ9+CJ
12174,-101.3281115,48.2116645,3647,IND4,1,7,4.11,SLAB ON GRADE,155500,77750,85WW6MCR+CH
12175,-101.3198698,48.21226999,2586,COM4,1,7,1.155,SLAB ON GRADE,120500,60250,85WW7M2R+P5
12176,-101.3220415,48.21244884,7759,RES4,1,7,1.14,SLAB ON GRADE,369500,184750,85WW6M6H+X5
12177,-101.3162952,48.21491265,1250,RES3A,1,7,1.175,SLAB ON GRADE,119000,59500,85WW6P8C+F8
12178,-101.3164132,48.21491488,3329,RES3A,1,7,1.205,SLAB ON GRADE,132500,66250,85WW7M4H+7C
12179,-101.3138113,48.21738739,2003,RES1,1,7,1.455,SLAB ON GRADE,106500,53250,85WW6MJX+87
12180,-101.3107467,48.21746479,2434,RES1,1,7,1.36,SLAB ON GRADE,127000,63500,85WW6MP9+9F
12181,-101.2889506,48.21590522,851,RES1,1,7,1.905,SLAB ON GRADE,127000,63500,85WW6MWQ+6J
12182,-101.3138917,48.21626387,3157,RES1,1,7,4.235,SLAB ON GRADE,186500,93250,85WW6MCR+VH
