SOccupId,ContDmgFnId,DefaultFn,Selected,Editable,HazardR,HazardCA,HazardCV
R3D5B,82,1,0,0,1,1,1
R3D5N,81,1,0,0,1,1,1
R3E1B,82,1,0,0,1,1,1
R3E1N,81,1,0,0,1,1,1
R3E3B,82,1,0,0,1,1,1
R3E3N,81,1,0,0,1,1,1
R3E5B,82,1,0,0,1,1,1
R3E5N,81,1,0,0,1,1,1
R3F1B,82,1,0,0,1,1,1
R3F1N,81,1,0,0,1,1,1
R3F3B,82,1,0,0,1,1,1
R3F3N,81,1,0,0,1,1,1
R3F5B,82,1,0,0,1,1,1
R3F5N,81,1,0,0,1,1,1
R4HB ,85,1,0,0,1,1,1
R4HN ,85,1,0,0,1,1,1
R4LB ,85,1,0,0,1,1,1
R4LN ,85,1,0,0,1,1,1
R4MB ,85,1,0,0,1,1,1
R4MN ,85,1,0,0,1,1,1
R5HB ,88,1,0,0,1,1,1
R5HN ,88,1,0,0,1,1,1
R5LB ,88,1,0,0,1,1,1
R5LN ,88,1,0,0,1,1,1
R5MB ,88,1,0,0,1,1,1
R5MN ,88,1,0,0,1,1,1
R6HB ,89,1,0,0,1,1,1
R6HN ,89,1,0,0,1,1,1
R6LB ,89,1,0,0,1,1,1
R6LN ,89,1,0,0,1,1,1
R6MB ,89,1,0,0,1,1,1
R6MN ,89,1,0,0,1,1,1
RE1HB,467,1,0,0,1,1,1
RE1HN,467,1,0,0,1,1,1
RE1LB,467,1,0,0,1,1,1
RE1LN,467,1,0,0,1,1,1
RE1MB,467,1,0,0,1,1,1
RE1MN,467,1,0,0,1,1,1
