DebrisID,Description,Finishes,Structure,Foundation,Comment
RES3FNBFT1,RES3F without basement with footing foundation at 1-4' water,4.1,0,0,
RES3FNBFT4,RES3F without basement with footing foundation at 4-8' water,6.8,0,0,
RES3FNBFT8,RES3F without basement with footing foundation at 8-12'+ water,10.9,0,0,
RES3FNBFT12,RES3F without basement with footing foundation at 12'+ water,13.6,47.8,19,
RES3FNBSG0,RES3F without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES3FNBSG1,RES3F without basement with slab on grade foundation at 1-4' water,4.1,0,0,
RES3FNBSG4,RES3F without basement with slab on grade foundation at 4-8' water,6.8,0,0,
RES3FNBSG8,RES3F without basement with slab on grade foundation at 8-12' water,10.9,0,0,
RES3FNBSG12,RES3F without basement with slab on grade foundation at 12'+ water,13.6,47.8,25,
RES4NBFT0,RES4 without basement with footing foundation at 0-1' water,4.1,0,0,
RES4NBFT1,RES4 without basement with footing foundation at 1-4' water,4.1,0,0,
RES4NBFT4,RES4 without basement with footing foundation at 4-8' water,6.8,0,0,
RES4NBFT8,RES4 without basement with footing foundation at 8-12'+ water,10.9,0,0,
RES4NBFT12,RES4 without basement with footing foundation at 12'+ water,13.6,58.6,9.9,
RES4NBSG0,RES4 without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES4NBSG1,RES4 without basement with slab on grade foundation at 1-4' water,4.1,0,0,
RES4NBSG4,RES4 without basement with slab on grade foundation at 4-8' water,6.8,0,0,
RES4NBSG8,RES4 without basement with slab on grade foundation at 8-12'+ water,10.9,0,0,
RES4NBSG12,RES4 without basement with slab on grade foundation at 12'+ water,13.6,58.6,25,
RES5NBFT0,RES5 without basement with footing foundation at 0-1' water,4.1,0,0,
RES5NBFT1,RES5 without basement with footing foundation at 1-4' water,4.1,0,0,
RES5NBFT4,RES5 without basement with footing foundation at 4-8' water,6.8,0,0,
RES5NBFT8,RES5 without basement with footing foundation at 8-12'+ water,10.9,0,0,
RES5NBFT12,RES5 without basement with footing foundation at 12'+ water,13.6,68.7,18.3,
RES5NBSG0,RES5 without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES5NBSG1,RES5 without basement with slab on grade foundation at 1-4' water,4.1,0,0,
RES5NBSG4,RES5 without basement with slab on grade foundation at 4-8' water,6.8,0,0,
RES5NBSG8,RES5 without basement with slab on grade foundation at 8-12'+ water,10.9,0,0,
RES5NBSG12,RES5 without basement with slab on grade foundation at 12'+ water,13.6,68.7,25,
RES6NBFT0,RES6 without basement with footing foundation at 0-1' water,4.1,0,0,
RES6NBFT1,RES6 without basement with footing foundation at 1-4' water,4.1,0,0,
