Occupancy,SpecificOccupId,Source,Description,Stories,Comment,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,DDF_ID,Basement,HazardRiverine,HazardCV,HazardCA,SortOrder
IND5,I5LN,USACE - Galveston,"Average High Technology, Inventory",Low Rise,IND3 default,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,111,,1,1,1,439
IND5,I5LB,USACE - Galveston,"Average High Technology, Inventory",Low Rise,IND3 default,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,111,1,1,1,1,440
IND5,I5MN,USACE - Galveston,"Average High Technology, Inventory",Mid Rise,IND3 default,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,111,,1,1,1,441
IND5,I5MB,USACE - Galveston,"Average High Technology, Inventory",Mid Rise,IND3 default,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,111,1,1,1,1,442
IND5,I5HN,USACE - Galveston,"Average High Technology, Inventory",High Rise,IND3 default,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,111,,1,1,1,443
IND5,I5HB,USACE - Galveston,"Average High Technology, Inventory",High Rise,IND3 default,0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,111,1,1,1,1,444
IND6,I6LN,USACE - Galveston,"Average Construction, Inventory",Low Rise,,0,0,0,0,0,31,45,54,60,65,70,74,78,81,84,89,90,91,92,93,94,95,97,98,99,100,100,100,100,112,,1,1,1,445
IND6,I6LB,USACE - Galveston,"Average Construction, Inventory",Low Rise,,0,0,0,0,0,31,45,54,60,65,70,74,78,81,84,89,90,91,92,93,94,95,97,98,99,100,100,100,100,112,1,1,1,1,446
IND6,I6MN,USACE - Galveston,"Average Construction, Inventory",Mid Rise,,0,0,0,0,0,31,45,54,60,65,70,74,78,81,84,89,90,91,92,93,94,95,97,98,99,100,100,100,100,112,,1,1,1,447
IND6,I6MB,USACE - Galveston,"Average Construction, Inventory",Mid Rise,,0,0,0,0,0,31,45,54,60,65,70,74,78,81,84,89,90,91,92,93,94,95,97,98,99,100,100,100,100,112,1,1,1,1,448
IND6,I6HN,USACE - Galveston,"Average Construction, Inventory",High Rise,,0,0,0,0,0,31,45,54,60,65,70,74,78,81,84,89,90,91,92,93,94,95,97,98,99,100,100,100,100,112,,1,1,1,449
IND6,I6HB,USACE - Galveston,"Average Construction, Inventory",High Rise,,0,0,0,0,0,31,45,54,60,65,70,74,78,81,84,89,90,91,92,93,94,95,97,98,99,100,100,100,100,112,1,1,1,1,450
AGR1,A1LN,USACE - Galveston,"Agriculture/Dairy Processing, Inventory",Low Rise,,0,0,0,0,0,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,116,,1,1,1,451
AGR1,A1LB,USACE - Galveston,"Agriculture/Dairy Processing, Inventory",Low Rise,,0,0,0,0,0,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,116,1,1,1,1,452
AGR1,A1MN,USACE - Galveston,"Agriculture/Dairy Processing, Inventory",Mid Rise,,0,0,0,0,0,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,116,,1,1,1,453
AGR1,A1MB,USACE - Galveston,"Agriculture/Dairy Processing, Inventory",Mid Rise,,0,0,0,0,0,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,116,1,1,1,1,454
AGR1,A1HN,USACE - Galveston,"Agriculture/Dairy Processing, Inventory",High Rise,,0,0,0,0,0,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,116,,1,1,1,455
AGR1,A1HB,USACE - Galveston,"Agriculture/Dairy Processing, Inventory",High Rise,,0,0,0,0,0,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,116,1,1,1,1,456
