SOccupId,Occupancy,NumStories,NumStoriesInt,Basement,SortOrder
G1HB ,GOV1 ,High Rise,>7,1,468
G1HN ,GOV1 ,High Rise,>7,0,467
G1LB ,GOV1 ,Low Rise,<4,1,464
G1LN ,GOV1 ,Low Rise,<4,0,463
G1MB ,GOV1 ,Mid Rise,4-7,1,466
G1MN ,GOV1 ,Mid Rise,4-7,0,465
G2HB ,GOV2 ,High Rise,>7,1,474
G2HN ,GOV2 ,High Rise,>7,0,473
G2LB ,GOV2 ,Low Rise,<4,1,470
G2LN ,GOV2 ,Low Rise,<4,0,469
G2MB ,GOV2 ,Mid Rise,4-7,1,472
G2MN ,GOV2 ,Mid Rise,4-7,0,471
I1HB ,IND1 ,High Rise,>7,1,420
I1HN ,IND1 ,High Rise,>7,0,419
I1LB ,IND1 ,Low Rise,<4,1,416
I1LN ,IND1 ,Low Rise,<4,0,415
I1MB ,IND1 ,Mid Rise,4-7,1,418
I1MN ,IND1 ,Mid Rise,4-7,0,417
I2HB ,IND2 ,High Rise,>7,1,426
I2HN ,IND2 ,High Rise,>7,0,425
I2LB ,IND2 ,Low Rise,<4,1,422
I2LN ,IND2 ,Low Rise,<4,0,421
I2MB ,IND2 ,Mid Rise,4-7,1,424
I2MN ,IND2 ,Mid Rise,4-7,0,423
I3HB ,IND3 ,High Rise,>7,1,432
I3HN ,IND3 ,High Rise,>7,0,431
I3LB ,IND3 ,Low Rise,<4,1,428
I3LN ,IND3 ,Low Rise,<4,0,427
I3MB ,IND3 ,Mid Rise,4-7,1,430
I3MN ,IND3 ,Mid Rise,4-7,0,429
I4HB ,IND4 ,High Rise,>7,1,438
I4HN ,IND4 ,High Rise,>7,0,437
I4LB ,IND4 ,Low Rise,<4,1,434
I4LN ,IND4 ,Low Rise,<4,0,433
I4MB ,IND4 ,Mid Rise,4-7,1,436
I4MN ,IND4 ,Mid Rise,4-7,0,435
I5HB ,IND5 ,High Rise,>7,1,444
I5HN ,IND5 ,High Rise,>7,0,443
I5LB ,IND5 ,Low Rise,<4,1,440
I5LN ,IND5 ,Low Rise,<4,0,439
I5MB ,IND5 ,Mid Rise,4-7,1,442
I5MN ,IND5 ,Mid Rise,4-7,0,441
I6HB ,IND6 ,High Rise,>7,1,450
I6HN ,IND6 ,High Rise,>7,0,449
I6LB ,IND6 ,Low Rise,<4,1,446
I6LN ,IND6 ,Low Rise,<4,0,445
I6MB ,IND6 ,Mid Rise,4-7,1,448
I6MN ,IND6 ,Mid Rise,4-7,0,447
R4HB ,RES4 ,High Rise,>7,1,342
R4HN ,RES4 ,High Rise,>7,0,341
R4LB ,RES4 ,Low Rise,<4,1,338
R4LN ,RES4 ,Low Rise,<4,0,337
R4MB ,RES4 ,Mid Rise,4-7,1,340
R4MN ,RES4 ,Mid Rise,4-7,0,339
R5HB ,RES5 ,High Rise,>7,1,348
R5HN ,RES5 ,High Rise,>7,0,347
R5LB ,RES5 ,Low Rise,<4,1,344
R5LN ,RES5 ,Low Rise,<4,0,343
R5MB ,RES5 ,Mid Rise,4-7,1,346
R5MN ,RES5 ,Mid Rise,4-7,0,345
R6HB ,RES6 ,High Rise,>7,1,354
R6HN ,RES6 ,High Rise,>7,0,353
R6LB ,RES6 ,Low Rise,<4,1,350
R6LN ,RES6 ,Low Rise,<4,0,349
R6MB ,RES6 ,Mid Rise,4-7,1,352
R6MN ,RES6 ,Mid Rise,4-7,0,351
RE1HB,REL1 ,High Rise,>7,1,462
RE1HN,REL1 ,High Rise,>7,0,461
RE1LB,REL1 ,Low Rise,<4,1,458
RE1LN,REL1 ,Low Rise,<4,0,457
RE1MB,REL1 ,Mid Rise,4-7,1,460
RE1MN,REL1 ,Mid Rise,4-7,0,459
