InvDmgFnId,Occupancy,Source,Description,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,Comment
35,COM1,USACE - Galveston,"Vacuum Cleaner Sales, Inventory",0,0,0,0,0,70,80,90,95,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
36,COM1,USACE - Galveston,"Video Games, Inventory",0,0,0,0,0,25,50,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
37,COM1,USACE - Galveston,"Medium Grocery, Inventory",0,0,0,0,4,22,44,74,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
38,COM1,USACE - Galveston,"Mens Clothing, Inventory",0,0,0,0,6,37,50,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
39,COM1,USACE - Galveston,"Hardware, Inventory",0,0,0,0,8,33,52,70,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
40,COM1,USACE - Galveston,"Toy Store, Inventory",0,0,0,0,10,20,40,70,85,90,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
41,COM1,USACE - Galveston,"Boat Sales/Service, Inventory",0,0,0,0,13,24,43,82,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
42,COM1,USACE - Galveston,"Antique, Inventory",0,0,0,0,20,75,78,85,90,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
43,COM1,USACE - Galveston,"Large Auto Dealer, Inventory",0,0,0,0,20,50,90,95,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
44,COM1,USACE - Galveston,"Large Furniture, Inventory",0,0,0,0,20,78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
45,COM1,USACE - Galveston,"Bakery, Inventory",0,0,0,0,55,65,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
46,COM2,USACE - Galveston,"Average Wholesale Trade, Inventory",0,0,0,0,4,19,33,44,54,63,69,76,79,82,87,88,88,90,90,90,91,91,91,91,91,91,91,91,91,NULL
47,COM2,USACE - Galveston,"Auto Parts, Inventory",0,0,0,0,0,18,30,59,70,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
48,COM2,USACE - Galveston,"Auto Parts/Mufflers, Inventory",0,0,0,0,0,10,20,40,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
49,COM2,USACE - Galveston,"Food Warehouse, Inventory",0,0,0,0,0,25,40,55,70,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,NULL
50,COM2,USACE - Galveston,"Jewelry, Inventory",0,0,0,0,0,7,15,24,33,39,45,51,56,61,65,70,74,79,83,87,92,95,96,96,96,96,96,96,96,NULL
51,COM2,USACE - Galveston,"Lumber Yard, Inventory",0,0,0,0,0,20,30,45,60,75,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
52,COM2,USACE - Galveston,"Medical Supplies, Inventory",0,0,0,0,0,11,20,27,35,43,50,57,65,73,80,88,96,100,100,100,100,100,100,100,100,100,100,100,100,NULL
53,COM2,USACE - Galveston,"Municipal Storage Warehouse, Inventory",0,0,0,0,0,11,16,19,21,23,28,35,47,67,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,NULL
54,COM2,USACE - Galveston,"Paper Products Warehouse, Inventory",0,0,0,0,0,17,27,36,44,52,59,67,73,80,90,98,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
55,COM2,USACE - Galveston,"Safety Equipment, Inventory",0,0,0,0,0,12,25,37,50,62,75,85,93,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
56,COM2,USACE - Galveston,"Sporting Goods, Inventory",0,0,0,0,0,20,30,50,53,55,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
57,COM2,USACE - Galveston,"Sporting Goods Warehouse, Inventory",0,0,0,0,0,35,50,63,75,87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
58,COM2,USACE - Galveston,"Chemical Storage, Inventory",0,0,0,0,0,15,20,30,40,50,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
59,COM2,USACE - Galveston,"Machine Parts Storage, Inventory",0,0,0,0,0,20,30,40,50,50,50,75,75,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
60,COM2,USACE - Galveston,"T.V. Repair, Inventory",0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
61,COM2,USACE - Galveston,"Trailer Parts, Inventory",0,0,0,0,0,0,8,16,28,32,40,43,46,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,NULL
62,COM2,USACE - Galveston,"Warehouse, Inventory",0,0,0,0,0,11,16,19,21,23,28,35,47,67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
63,COM2,USACE - Galveston,"Beer Warehouse, Inventory",0,0,0,0,0,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
64,COM2,USACE - Galveston,"Bottled Glass Warehouse, Inventory",0,0,0,0,0,10,10,10,10,10,10,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,NULL
65,COM2,USACE - Galveston,"Cement Warehouse, Inventory",0,0,0,0,0,20,40,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
66,COM2,USACE - Galveston,"Detergents Warehouse, Inventory",0,0,0,0,0,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
67,COM2,USACE - Galveston,"Heacvy Machinery Warehouse, Inventory",0,0,0,0,0,10,25,25,35,40,50,75,75,75,75,75,75,85,85,90,90,90,90,90,90,90,90,90,90,NULL
68,COM2,USACE - Galveston,"Petroleum Warehouse, Inventory",0,0,0,0,0,0,0,10,20,40,60,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,NULL
69,COM2,USACE - Galveston,"Western Auto, Inventory",0,0,0,0,0,23,50,75,87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
70,IND1,USACE - Galveston,"Average Heavy Industrial, Inventory",0,0,0,0,1,18,29,40,49,53,57,61,63,66,66,66,67,69,69,69,70,70,70,70,70,71,71,71,71,NULL
71,IND1,USACE - Galveston,"Cabinet Shop Mfg, Inventory",0,0,0,0,0,2,4,8,10,11,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,NULL
72,IND1,USACE - Galveston,"Door Mfg, Inventory",0,0,0,0,0,20,40,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
73,IND1,USACE - Galveston,"Fabrication Shop, Inventory",0,0,0,0,0,10,20,30,40,50,60,70,75,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,NULL
74,IND1,USACE - Galveston,"Heat Exchanger Mfg, Inventory",0,0,0,0,0,11,15,17,19,21,23,24,26,28,29,32,34,36,38,39,41,43,45,47,49,51,53,55,57,NULL
75,IND1,USACE - Galveston,"Lock Shop, Inventory",0,0,0,0,8,33,52,70,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
76,IND1,USACE - Galveston,"Heavy Machine Shop, Inventory",0,0,0,0,0,2,5,10,15,20,25,30,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,NULL
77,IND1,USACE - Galveston,"Light Machine Shop, Inventory",0,0,0,0,0,8,12,18,27,35,42,42,42,55,55,55,65,65,70,70,70,70,70,70,70,70,70,70,70,NULL
78,IND1,USACE - Galveston,"Metal Coatings Serv., Inventory",0,0,0,0,0,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
79,IND1,USACE - Galveston,"Metal Recycling, Inventory",0,0,0,0,0,0,0,10,20,20,20,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50,NULL
80,IND1,USACE - Galveston,"Machine Research Lab, Inventory",0,0,0,0,0,20,40,60,80,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,NULL
81,IND2,USACE - Galveston,"Average Light Industrial, Inventory",0,0,0,0,0,14,33,48,57,63,67,70,74,75,76,77,78,81,81,81,83,83,84,84,84,84,85,85,85,NULL
82,IND2,USACE - Galveston,"Battery Mfg, Inventory",0,0,0,0,0,10,10,15,15,20,20,25,25,30,30,30,30,40,40,40,50,50,50,50,50,50,50,50,50,NULL
83,IND2,USACE - Galveston,"Electronic Equip Mfg, Inventory",0,0,0,0,0,25,40,55,70,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
84,IND2,USACE - Galveston,"Frame Shop, Inventory",0,0,0,0,0,16,45,80,88,93,95,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
85,IND2,USACE - Galveston,"Furniture Mfg, Inventory",0,0,0,0,0,0,40,50,60,70,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
86,IND2,USACE - Galveston,"Instrument Mfg, Inventory",0,0,0,0,0,30,50,61,73,82,90,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
